,Method,Metric,Variable,Run,Type,Value
117,IM,kl_divergence,class,2,Multiple,0.001622183
118,IM,kl_divergence,deg-malig,2,Multiple,0.000104226
119,IM,kl_divergence,inv-nodes,2,Multiple,0.002925948
120,IM,kl_divergence,irradiat,2,Multiple,0
121,IM,kl_divergence,menopause,2,Multiple,0.000441397
122,IM,kl_divergence,node-caps,2,Multiple,0.000668055
123,IM,kl_divergence,tumor-size,2,Multiple,0.005483665
124,IM,cross_classification,Avg-CrCl,1,Single,0.816941514
125,IM,cross_classification,Avg-CrCl,2,Single,0.807041502
126,IM,membership_disclosure,-,1,Single,0.398601399
127,IM,membership_disclosure,-,2,Single,0.472027972
128,IM,attribute_disclosure,-,1,Single,0.003676471
129,IM,attribute_disclosure,-,2,Single,0.022058824
